# x0 x1
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
6.465788365067845511e-05 0.000000000000000000e+00
9.015824651112656115e-05 0.000000000000000000e+00
1.609763690016028314e-04 0.000000000000000000e+00
1.520613828740753734e-04 0.000000000000000000e+00
1.370807730331743198e-04 0.000000000000000000e+00
1.543428092105043165e-04 0.000000000000000000e+00
1.763511575714456843e-04 0.000000000000000000e+00
1.957834129625422468e-04 -9.228816369624150372e-10
2.702536139961228545e-04 -2.694007014035626856e-09
3.179688145298869141e-04 -4.364370187166128143e-09
3.610884947193250994e-04 -5.886940777753023114e-09
4.006611612729943806e-04 -7.356902847999056486e-09
4.433258494225566539e-04 -9.090237456202583473e-09
4.877106234022837109e-04 -1.112902141781348352e-08
4.724226997885531791e-04 -1.008336520508914333e-08
5.016739579405006923e-04 -1.136477552807895436e-08
5.307119562950487991e-04 -1.289389190143960013e-08
5.754158157807973172e-04 -1.557521919102821633e-08
5.856468534272806642e-04 -1.628715576735781411e-08
6.127975710541858122e-04 -1.799329149034117378e-08
6.389497950136976533e-04 -1.978200108583589197e-08
6.329297292440518204e-04 -1.888378384965003342e-08
6.260517095795802879e-04 -1.784158500720515535e-08
6.847772588803317968e-04 -2.286853691783899110e-08
7.227651913587529496e-04 -2.638168834474489842e-08
7.501750850400603406e-04 -2.886538407462336513e-08
7.400996813388071270e-04 -2.758949211005002883e-08
7.464470568163076442e-04 -2.792572686413618696e-08
7.528568049117162616e-04 -2.832317826054379299e-08
7.589448802219879659e-04 -2.871910831608991069e-08
7.985464538392999297e-04 -3.305477242265495573e-08
7.924240296015549459e-04 -3.214146841609446658e-08
7.981619075780345667e-04 -3.252634688589730770e-08
8.286311617867189250e-04 -3.583919900370732565e-08
8.584061587322981733e-04 -3.915590676961477099e-08
8.624059896216042893e-04 -3.936077339213447333e-08
8.971608855171730795e-04 -4.357776631970556454e-08
9.381323975282507104e-04 -4.834935952376824625e-08
9.495329327713589607e-04 -4.951179473339891872e-08
9.765744579567458943e-04 -5.262138408493719012e-08
1.000370104230994921e-03 -5.534188970873421970e-08
1.026764975611039327e-03 -5.844186053619338532e-08
1.079190102871884242e-03 -6.523647240278263658e-08
1.077816178839508410e-03 -6.181030301541292541e-08
1.087922164286914866e-03 -6.010898119827705532e-08
1.081781142656119531e-03 -5.640810099227797156e-08
1.052591722790537565e-03 -4.833377641483786268e-08
1.024452564930939833e-03 -4.047125536216355862e-08
1.054933840212583622e-03 -4.623195037330362327e-08
1.076429393106482753e-03 -4.848565848610221446e-08
1.065136109109411340e-03 -4.426370859637723505e-08
1.065899251813828396e-03 -4.256697874025045451e-08
1.074764734279156329e-03 -4.286349269677788796e-08
1.084594500554040631e-03 -4.363010137604894912e-08
1.096111789693388896e-03 -4.627616049705111118e-08
1.104328487022994973e-03 -4.693002057024974184e-08
1.125937782534092461e-03 -4.854566617500562560e-08
1.113551607848279256e-03 -4.144430595196798625e-08
1.099619698542026770e-03 -3.369151371599723666e-08
1.102293834042330058e-03 -3.122484069594059181e-08
1.113550772942509953e-03 -3.465097873803543403e-08
1.123127919143691519e-03 -3.525230308032932668e-08
1.137761916409063588e-03 -3.795952674009068823e-08
1.164623191186752674e-03 -4.505962079855995735e-08
1.162561682893905809e-03 -4.227152037019744577e-08
1.157939957811610814e-03 -3.845538072566981306e-08
1.186755739321824306e-03 -4.885592633713342036e-08
1.197824743374864814e-03 -5.112114572714348852e-08
1.182190517561408508e-03 -4.357836381911504713e-08
1.207257578005106226e-03 -4.912112196807838492e-08
1.232266808163802029e-03 -5.521301514503641358e-08
1.253836544322489786e-03 -6.012101446999087915e-08
1.291806898537424097e-03 -7.666351808253335778e-08
1.262977882216625471e-03 -5.993900040012881357e-08
1.288293349497075194e-03 -6.854981620001331367e-08
1.282962188617531221e-03 -6.318515883172323411e-08
1.305883799407485391e-03 -7.152523614376951870e-08
1.329427378009811816e-03 -8.075664180951539086e-08
1.345752516525361084e-03 -8.889785871314551391e-08
1.369812684218325860e-03 -9.900417291001995128e-08
1.368910259439720016e-03 -9.681945298909714121e-08
1.370086420965938500e-03 -9.556858330508485278e-08
1.390355961858854520e-03 -1.047075974058314920e-07
1.409561839610519278e-03 -1.134944251244337227e-07
1.419934147549662242e-03 -1.190542614218682491e-07
1.419286423464101096e-03 -1.173099893014138381e-07
1.426610266607735919e-03 -1.202345425515533094e-07
1.449351765730865415e-03 -1.319301433948576764e-07
1.441983947533302234e-03 -1.268154558645198337e-07
1.430770336147048393e-03 -1.193859602179619540e-07
1.459931772279507954e-03 -1.359512379573164884e-07
1.449171249957099472e-03 -1.289465747089488550e-07
1.434173453356124735e-03 -1.195199686548281390e-07
1.428375043410236951e-03 -1.124947459006977956e-07
1.452106070153456278e-03 -1.237949571630203653e-07
1.475377517742158763e-03 -1.354258285907191322e-07
1.489946221037651312e-03 -1.445344839706701850e-07
1.479561478617226261e-03 -1.354504889157380481e-07
1.521005227026740909e-03 -1.605522315255588353e-07
1.547269716508593981e-03 -1.740081571808044692e-07
1.569211956902123988e-03 -1.845121366657395425e-07
1.587984986801574665e-03 -1.929968523499148792e-07
1.608843764436458353e-03 -2.077924774739289054e-07
1.640238320464647466e-03 -2.268447471338633924e-07
1.639613975730412100e-03 -2.226742101524469981e-07
1.641728416988828950e-03 -2.206611397629835299e-07
1.677908028326229690e-03 -2.454061465871071438e-07
1.713220121043146100e-03 -2.701941469556769574e-07
1.733018349161210159e-03 -2.857218736467512244e-07
1.724847547486973347e-03 -2.763281682196836711e-07
1.718734846859841774e-03 -2.688034338752917505e-07
1.709301804482149826e-03 -2.587301925179142686e-07
1.713304958930593480e-03 -2.601425843168407756e-07
1.717163903231875861e-03 -2.616101911855522312e-07
1.749383493409591584e-03 -2.888039984736998828e-07
1.786222731118692350e-03 -3.188146675097577381e-07
1.752929018939132456e-03 -2.887010034278183652e-07
1.755754713490992412e-03 -2.896623333421389018e-07
1.747012322771440695e-03 -2.808478842759791407e-07
1.736861075006071800e-03 -2.707707662218891823e-07
1.747871046434317129e-03 -2.800566361849331343e-07
1.740217641443274864e-03 -2.665922757439172747e-07
1.780824287377067534e-03 -2.988789521424704094e-07
1.800030239920457189e-03 -3.121445772907755791e-07
1.808811383126491699e-03 -3.149276838680718040e-07
1.817321912305785167e-03 -3.179885278859321488e-07
1.834801716356311996e-03 -3.351616313386933025e-07
1.852308626292204288e-03 -3.486893618957092232e-07
1.861412510554202654e-03 -3.539671915075260620e-07
1.866812328279599496e-03 -3.555065554851796074e-07
1.874551547516555656e-03 -3.597952691262117967e-07
1.880424238041972316e-03 -3.622433983008182829e-07
1.896282127827614598e-03 -3.795396518304257286e-07
1.883298284156290341e-03 -3.619083367882355085e-07
